ID,Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC
1,https://www.zillow.com/homedetails/3646-N-69th-Ave-UNIT-40-Phoenix-AZ-85033/7485017_zpid/,,50000,3/8/2024,950,sqft,52.63,819,sqft,,2,3646 N 69th Ave UNIT 40,Phoenix,85033,AZ,USA,1
2,https://www.zillow.com/homedetails/2833-W-Melvin-St-Phoenix-AZ-85009/7514226_zpid/,,50000,10/27/2021,836,sqft,59.81,6500,sqft,,1,2833 W Melvin St,Phoenix,85009,AZ,USA,1
3,https://www.zillow.com/homedetails/2816-N-Dayton-St-Phoenix-AZ-85006/7533654_zpid/,,50000,3/15/2022,1004,sqft,49.8,8010,sqft,3,1,2816 N Dayton St,Phoenix,85006,AZ,USA,1
4,https://www.zillow.com/homedetails/1831-E-Raymond-St-Phoenix-AZ-85040/7546198_zpid/,,50000,9/27/2023,,,,7326,sqft,,,1831 E Raymond St,Phoenix,85040,AZ,USA,0
5,https://www.zillow.com/homedetails/4153-E-Nancy-Ln-Phoenix-AZ-85042/7551338_zpid/,,50000,4/18/2022,1371,sqft,36.47,6704,sqft,,2,4153 E Nancy Ln,Phoenix,85042,AZ,USA,1
6,https://www.zillow.com/homedetails/6201-E-Calle-Rosa-Scottsdale-AZ-85251/7568462_zpid/,,50000,8/11/2023,2338,sqft,21.39,0.46,acres,,2,6201 E Calle Rosa,Scottsdale,85251,AZ,USA,1
7,https://www.zillow.com/homedetails/6401-W-Devonshire-Ave-Phoenix-AZ-85033/7717321_zpid/,,50000,7/5/2022,1529,sqft,32.7,9161,sqft,,2,6401 W Devonshire Ave,Phoenix,85033,AZ,USA,1
8,https://www.zillow.com/homedetails/3638-W-Sunnyside-Ave-Phoenix-AZ-85029/7743387_zpid/,,50000,4/28/2023,1550,sqft,32.26,1,acres,2,2,3638 W Sunnyside Ave,Phoenix,85029,AZ,USA,1
9,https://www.zillow.com/homedetails/1637-W-Campbell-Ave-Phoenix-AZ-85015/7771860_zpid/,,50000,3/27/2023,1489,sqft,33.58,7422,sqft,4,3,1637 W Campbell Ave,Phoenix,85015,AZ,USA,1
10,https://www.zillow.com/homedetails/2314-W-Orchid-Ln-Phoenix-AZ-85021/7782297_zpid/,,50000,10/20/2021,1362,sqft,36.71,6726,sqft,,2,2314 W Orchid Ln,Phoenix,85021,AZ,USA,1
11,https://www.zillow.com/homedetails/3033-E-Devonshire-Ave-UNIT-1005-Phoenix-AZ-85016/7802429_zpid/,,50000,6/18/2021,849,sqft,58.89,800,sqft,,1,3033 E Devonshire Ave UNIT 1005,Phoenix,85016,AZ,USA,1
12,https://www.zillow.com/homedetails/2612-E-Marco-Polo-Rd-Phoenix-AZ-85050/7994367_zpid/,,50000,8/24/2021,,,,0.41,acres,,,2612 E Marco Polo Rd,Phoenix,85050,AZ,USA,0
13,https://www.zillow.com/homedetails/2721-E-Beverly-Ln-Phoenix-AZ-85032/8005768_zpid/,,50000,8/15/2023,696,sqft,71.84,6501,sqft,,,2721 E Beverly Ln,Phoenix,85032,AZ,USA,0
14,https://www.zillow.com/homedetails/2909-E-Paradise-Ln-Phoenix-AZ-85032/8007478_zpid/,,50000,9/9/2022,510,sqft,98.04,7442,sqft,,,2909 E Paradise Ln,Phoenix,85032,AZ,USA,0
15,https://www.zillow.com/homedetails/2641-N-Adams-Ave-Phoenix-AZ-85034/54258910_zpid/,,50000,3/14/2022,1310,sqft,38.17,1.88,acres,,,2641 N Adams Ave,Phoenix,85034,AZ,USA,1
16,https://www.zillow.com/homedetails/1625-W-Betty-Elyse-Ln-Phoenix-AZ-85023/88789869_zpid/,,50000,2/28/2022,1816,sqft,27.53,6003,sqft,,,1625 W Betty Elyse Ln,Phoenix,85023,AZ,USA,0
17,https://www.zillow.com/homedetails/2115-W-Sherman-St-Phoenix-AZ-85009/95099002_zpid/,,50000,1/3/2023,,,,5461,sqft,,,2115 W Sherman St,Phoenix,85009,AZ,USA,0
18,https://www.zillow.com/homedetails/2117-W-Sherman-St-Phoenix-AZ-85009/95131641_zpid/,,50000,1/3/2023,,,,5142,sqft,,,2117 W Sherman St,Phoenix,85009,AZ,USA,0
19,https://www.zillow.com/homedetails/3606-W-Moreland-St-Phoenix-AZ-85009/95145371_zpid/,,50000,2/18/2022,1135,sqft,44.05,6631,sqft,3,2,3606 W Moreland St,Phoenix,85009,AZ,USA,1
20,https://www.zillow.com/homedetails/732-E-Mountain-View-Rd-Phoenix-AZ-85020/95160192_zpid/,,50000,7/15/2021,1001,sqft,49.95,7858,sqft,,1,732 E Mountain View Rd,Phoenix,85020,AZ,USA,0
21,https://www.zillow.com/homedetails/6515-W-Palo-Verde-Ln-Phoenix-AZ-85028/240136550_zpid/,,50000,6/6/2022,,,,1.08,acres,,,6515 W Palo Verde Ln,Phoenix,85028,AZ,USA,0
22,https://www.zillow.com/homedetails/16617-N-1st-Dr-Phoenix-AZ-85023/2054236574_zpid/,,50000,12/30/2023,925,sqft,54.05,3000,sqft,2,2,16617 N 1st Dr,Phoenix,85023,AZ,USA,1
23,https://www.zillow.com/homedetails/4139-W-Roosevelt-St-LOT-220-Phoenix-AZ-85009/2063228127_zpid/,,50000,6/9/2022,784,sqft,63.78,,,3,1,4139 W Roosevelt St LOT 220,Phoenix,85009,AZ,USA,1
