"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013061029","Census Tract 610.29; Maricopa County; Arizona","82040","10100",
"1400000US04013061031","Census Tract 610.31; Maricopa County; Arizona","114479","23333",
"1400000US04013061032","Census Tract 610.32; Maricopa County; Arizona","102330","21472",
"1400000US04013061033","Census Tract 610.33; Maricopa County; Arizona","73500","17529",
"1400000US04013061034","Census Tract 610.34; Maricopa County; Arizona","98487","29845",
"1400000US04013061035","Census Tract 610.35; Maricopa County; Arizona","81481","20327",
"1400000US04013061036","Census Tract 610.36; Maricopa County; Arizona","148214","13077",
"1400000US04013061037","Census Tract 610.37; Maricopa County; Arizona","121155","11921",
"1400000US04013061038","Census Tract 610.38; Maricopa County; Arizona","89427","14866",
"1400000US04013061039","Census Tract 610.39; Maricopa County; Arizona","129042","4048",
"1400000US04013061040","Census Tract 610.40; Maricopa County; Arizona","84809","8040",
"1400000US04013061041","Census Tract 610.41; Maricopa County; Arizona","76547","20767",
"1400000US04013061042","Census Tract 610.42; Maricopa County; Arizona","66897","7815",
"1400000US04013061043","Census Tract 610.43; Maricopa County; Arizona","77331","9794",
"1400000US04013061044","Census Tract 610.44; Maricopa County; Arizona","105952","16795",
"1400000US04013061045","Census Tract 610.45; Maricopa County; Arizona","120934","19278",
"1400000US04013061046","Census Tract 610.46; Maricopa County; Arizona","57500","9023",
"1400000US04013061047","Census Tract 610.47; Maricopa County; Arizona","133182","10018",
"1400000US04013061048","Census Tract 610.48; Maricopa County; Arizona","104583","36384",
"1400000US04013061049","Census Tract 610.49; Maricopa County; Arizona","94234","22186",
"1400000US04013061050","Census Tract 610.50; Maricopa County; Arizona","96566","14590",
"1400000US04013061051","Census Tract 610.51; Maricopa County; Arizona","115608","54926",
"1400000US04013061052","Census Tract 610.52; Maricopa County; Arizona","84204","8448",
"1400000US04013061053","Census Tract 610.53; Maricopa County; Arizona","58269","14978",
"1400000US04013061054","Census Tract 610.54; Maricopa County; Arizona","101346","16437",
"1400000US04013061055","Census Tract 610.55; Maricopa County; Arizona","133297","11020",
"1400000US04013061056","Census Tract 610.56; Maricopa County; Arizona","143523","21810",
"1400000US04013061057","Census Tract 610.57; Maricopa County; Arizona","76083","20649",
"1400000US04013061058","Census Tract 610.58; Maricopa County; Arizona","94000","21348",
"1400000US04013061059","Census Tract 610.59; Maricopa County; Arizona","107183","28209",
"1400000US04013061060","Census Tract 610.60; Maricopa County; Arizona","81096","12422",
"1400000US04013061061","Census Tract 610.61; Maricopa County; Arizona","107642","28982",
"1400000US04013061062","Census Tract 610.62; Maricopa County; Arizona","100223","16173",
"1400000US04013061063","Census Tract 610.63; Maricopa County; Arizona","41484","22605",
"1400000US04013061064","Census Tract 610.64; Maricopa County; Arizona","97004","15710",
"1400000US04013061100","Census Tract 611; Maricopa County; Arizona","59059","7848",
"1400000US04013061200","Census Tract 612; Maricopa County; Arizona","46801","9169",
"1400000US04013061300","Census Tract 613; Maricopa County; Arizona","64356","7677",
"1400000US04013061401","Census Tract 614.01; Maricopa County; Arizona","46786","11420",
"1400000US04013061402","Census Tract 614.02; Maricopa County; Arizona","62466","14627",
"1400000US04013071503","Census Tract 715.03; Maricopa County; Arizona","48167","6562",
"1400000US04013071504","Census Tract 715.04; Maricopa County; Arizona","56582","10822",
"1400000US04013071505","Census Tract 715.05; Maricopa County; Arizona","55543","10260",
"1400000US04013071506","Census Tract 715.06; Maricopa County; Arizona","56613","7878",
"1400000US04013071509","Census Tract 715.09; Maricopa County; Arizona","87537","16573",
"1400000US04013071510","Census Tract 715.10; Maricopa County; Arizona","135980","14020",
"1400000US04013071511","Census Tract 715.11; Maricopa County; Arizona","72407","24700",
"1400000US04013071512","Census Tract 715.12; Maricopa County; Arizona","87479","9205",
"1400000US04013071513","Census Tract 715.13; Maricopa County; Arizona","100673","36422",
