"801","4103 E Moreland St, Phoenix, AZ, 85008","Match","Exact","4103 E MORELAND ST, PHOENIX, AZ, 85008","-111.99301126566525,33.46132201771172","128223704","R"
"802","3502 E Cambridge Ave, Phoenix, AZ, 85008","Match","Exact","3502 E CAMBRIDGE AVE, PHOENIX, AZ, 85008","-112.00630804808242,33.47776513208976","128223155","L"
"803","8107 N 33rd Dr, Phoenix, AZ, 85051","Match","Exact","8107 N 33RD DR, PHOENIX, AZ, 85051","-112.12989367552359,33.55575010453532","128397199","R"
"804","2414 W Coolidge St APT A, Phoenix, AZ, 85015","Match","Non_Exact","2414 W COOLIDGE ST, PHOENIX, AZ, 85015","-112.11086664095205,33.505024116297875","128205056","R"
"805","8200 W  Encanto Blvd, Phoenix, AZ, 85035","Match","Exact","8200 W ENCANTO BLVD, PHOENIX, AZ, 85035","-112.2356188282534,33.47268246238633","650073800","R"
"806","8115 N  18th St   aaa42fed, Phoenix, AZ, 85020","Match","Non_Exact","8115 N 18TH ST, PHOENIX, AZ, 85020","-112.04363822574794,33.55585179219378","616882548","R"
"807","1207 E Wagon Wheel Dr, Phoenix, AZ, 85020","Match","Exact","1207 E WAGON WHEEL DR, PHOENIX, AZ, 85020","-112.05625434296127,33.54699657286551","128207419","R"
"1229","2824 E Wier Ave, Phoenix, AZ, 85040","Match","Exact","2824 E WIER AVE, PHOENIX, AZ, 85040","-112.02064305227748,33.403376954022235","650783144","L"
"808","2049 W Bloomfield Rd, Phoenix, AZ, 85029","Match","Exact","2049 W BLOOMFIELD RD, PHOENIX, AZ, 85029","-112.10274881024219,33.59850915971617","128582480","L"
"809","3119 W Cochise Dr, Phoenix, AZ, 85051","Match","Exact","3119 W COCHISE DR, PHOENIX, AZ, 85051","-112.12896067551355,33.58053057213198","128202519","L"
"1000","520 E Purdue Ave, Phoenix, AZ, 85020","Match","Exact","520 E PURDUE AVE, PHOENIX, AZ, 85020","-112.06704712620206,33.574184299581816","128206495","L"
"1242","3212 N  37th St, Phoenix, AZ, 85018","Match","Exact","3212 N 37TH ST, PHOENIX, AZ, 85018","-112.00208678239244,33.485823843756975","649105117","L"
"1241","433 W Osborn Rd, Phoenix, AZ, 85013","Match","Exact","433 W OSBORN RD, PHOENIX, AZ, 85013","-112.08053020154574,33.48752129935116","128206353","L"
"1240","1500 W  Thunderbird Rd, Phoenix, AZ, 85023","Match","Exact","1500 W THUNDERBIRD RD, PHOENIX, AZ, 85023","-112.09191402646172,33.60920332857489","128181892","R"
"1239","6207 N 12th St, Phoenix, AZ, 85014","Match","Exact","6207 N 12TH ST, PHOENIX, AZ, 85014","-112.05615800016858,33.52753201179945","128302162","R"
"1238","4222 S 13th St APT B, Phoenix, AZ, 85040","Match","Non_Exact","4222 S 13TH ST, PHOENIX, AZ, 85040","-112.05370740260202,33.40799745878718","128215418","R"
"1237","17626 N 19th Ave, Phoenix, AZ, 85023","Match","Exact","17626 N 19TH AVE, PHOENIX, AZ, 85023","-112.09978209061285,33.645892769774036","128914251","L"
"1236","6819 N 12th St, Phoenix, AZ, 85014","Match","Exact","6819 N 12TH ST, PHOENIX, AZ, 85014","-112.05620556894291,33.537214567210015","128207492","R"
