Unique ID,Street address,City,State,Zip
117,1703 W  Mountain View Rd,Phoenix,AZ,85021
118,2502 W Elm St,Phoenix,AZ,85017
119,1225 E  Thomas Rd,Phoenix,AZ,85014
120,2608 W Ocotillo Rd APT B,Phoenix,AZ,85017
121,909 W  Colter St,Phoenix,AZ,85013
122,1517 E  Colter St,Phoenix,AZ,85014
123,602 E Townley Ave,Phoenix,AZ,85020
124,6060 N  7th St,Phoenix,AZ,85014
125,2616 W Pierson St,Phoenix,AZ,85017
126,2620 W Pierson St,Phoenix,AZ,85017
127,815 E  Bethany Home Rd,Phoenix,AZ,85014
128,17425 N  19th Ave,Phoenix,AZ,85023
129,11013 N 16th Ave,Phoenix,AZ,85029
130,903 N 30th St APT D,Phoenix,AZ,85008
131,2510 E Pueblo Ave,Phoenix,AZ,85040
132,8902 N  19th Ave,Phoenix,AZ,85021
133,3535 W  Tierra Buena Ln,Phoenix,AZ,85053
134,3601 E  McDowell Rd,Phoenix,AZ,85008
135,1944 W  Thunderbird Rd,Phoenix,AZ,85023
136,1538 W Peoria Ave,Phoenix,AZ,85029
137,2529 W  Cactus Rd,Phoenix,AZ,85029
138,17031 N  11th Ave,Phoenix,AZ,85023
139,445 W Osborn Rd,Phoenix,AZ,85013
140,3223 W Madison St,Phoenix,AZ,85009
141,1538 W Fillmore St,Phoenix,AZ,85007
142,1834 E Yale St,Phoenix,AZ,85006
143,2139 W Devonshire Ave,Phoenix,AZ,85015
144,2936 N 39th St,Phoenix,AZ,85018
145,746 E Mission Ln,Phoenix,AZ,85020
146,809 E Vogel Ave,Phoenix,AZ,85020
147,5107 N 28th Dr,Phoenix,AZ,85017
148,1809 E Cambridge Ave APT A,Phoenix,AZ,85006
149,2928 E  Osborn Rd   ab6eb5a6,Phoenix,AZ,85016
150,329 N  11th St,Phoenix,AZ,85006
151,11459 N  28th Dr,Phoenix,AZ,85029
152,3535 W  Camelback Rd   c76a,Phoenix,AZ,85019
153,5350 N  17th Ave,Phoenix,AZ,85015
154,12021 N  43rd Ave,Phoenix,AZ,85029
155,2115 W  Devonshire Ave,Phoenix,AZ,85015
156,2347 W Coolidge St,Phoenix,AZ,85015
157,10015 N 9th Ave,Phoenix,AZ,85021
158,1717 W  Missouri Ave,Phoenix,AZ,85015
159,4635 N  27th Ave,Phoenix,AZ,85017
160,3427 N  12th Pl,Phoenix,AZ,85014
161,810 E Colter St,Phoenix,AZ,85014
162,11620 N  17th Dr,Phoenix,AZ,85029
163,6044 N 21st Ave,Phoenix,AZ,85015
164,526 W Highland Ave APT H,Phoenix,AZ,85013
165,2109 W Hayward Ave,Phoenix,AZ,85021
166,2606 E Glenrosa Ave,Phoenix,AZ,85016
167,10001 N  7th St,Phoenix,AZ,85020
168,15615 N  35th Ave,Phoenix,AZ,85053
169,11050 N  Biltmore Dr,Phoenix,AZ,85029
170,9633 N 17th Ave,Phoenix,AZ,85021
171,4235 N  35th Ave,Phoenix,AZ,85017
172,730 E Turney Ave,Phoenix,AZ,85014
173,4707 E  McDowell Rd,Phoenix,AZ,85008
174,205 W Sunland Ave,Phoenix,AZ,85041
175,4811 & 4815 N  15th Ave,Phoenix,AZ,85015
176,2331 E  Pueblo Ave,Phoenix,AZ,85040
177,2539 W  Pierson St,Phoenix,AZ,85017
178,2618 E Turney Ave,Phoenix,AZ,85016
179,2238 E  Taylor St,Phoenix,AZ,85006
180,2525 E  Willetta St,Phoenix,AZ,85008
