Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,Exact,Formatted Address,Coordinates,N,LR
305,https://www.zillow.com/homedetails/355-W-Tonto-St-Phoenix-AZ-85003/2073011179_zpid/,Apartment,1149.0,531.0,sqft,2.16,,1.0,355 W Tonto St,Phoenix,85003,AZ,USA,1.0,"355 W Tonto St, Phoenix, AZ, 85003",Match,Exact,"355 W TONTO ST, PHOENIX, AZ, 85003","-112.07891490929842,33.43803769123201",128212175.0,L
306,https://www.zillow.com/b/beautiful-4-plex-apt-located-in-the-heart-of-phoenix%21-phoenix-az-9TWjb6/,Apartment,1149.0,725.0,sqft,1.58,2.0,1.0,2747 E Chipman Rd,Phoenix,85040,AZ,USA,1.0,"2747 E Chipman Rd, Phoenix, AZ, 85040",Match,Exact,"2747 E CHIPMAN RD, PHOENIX, AZ, 85040","-112.02202003471854,33.40234119899861",128224405.0,R
307,https://www.zillow.com/homedetails/2922-N-35th-St-APT-6-Phoenix-AZ-85018/2092969159_zpid/,Apartment,1150.0,674.0,sqft,1.71,1.0,1.0,2922 N 35th St,Phoenix,85018,AZ,USA,1.0,"2922 N 35th St, Phoenix, AZ, 85018",Match,Exact,"2922 N 35TH ST, PHOENIX, AZ, 85018","-112.00643127297354,33.48090851311542",128223136.0,L
308,https://www.zillow.com/homedetails/1019-W-Woodland-Ave-APT-2-Phoenix-AZ-85007/2095055793_zpid/,Apartment,1150.0,500.0,sqft,2.3,1.0,1.0,1019 W Woodland Ave,Phoenix,85007,AZ,USA,1.0,"1019 W Woodland Ave, Phoenix, AZ, 85007",Match,Exact,"1019 W WOODLAND AVE, PHOENIX, AZ, 85007","-112.08614988254993,33.45102958751119",128211864.0,L
309,https://www.zillow.com/b/21st-%26-biltmore-apartments-phoenix-az-5j2QpH/,Building,,,,,,,4332 N  21st St,Phoenix,85016,AZ,USA,1.0,"4332 N  21st St, Phoenix, AZ, 85016",Match,Exact,"4332 N 21ST ST, PHOENIX, AZ, 85016","-112.03679019898601,33.49921340069375",128322348.0,L
310,https://www.zillow.com/homedetails/1810-N-16th-St-APT-10-Phoenix-AZ-85006/2101216982_zpid/,Apartment,1150.0,450.0,sqft,2.56,,1.0,1810 N 16th St,Phoenix,85006,AZ,USA,0.0,"1810 N 16th St, Phoenix, AZ, 85006",Match,Exact,"1810 N 16TH ST, PHOENIX, AZ, 85006","-112.047742671778,33.467713005592486",128214218.0,L
311,https://www.zillow.com/apartments/phoenix-az/sunrise-in-biltmore/FMVC/,Building,,,,,,,6131 N  16th St   ac6e2dbb,Phoenix,85016,AZ,USA,1.0,"6131 N  16th St   ac6e2dbb, Phoenix, AZ, 85016",Match,Non_Exact,"6131 N 16TH ST, PHOENIX, AZ, 85016","-112.04741185848792,33.526148588232445",642855613.0,R
312,https://www.zillow.com/apartments/phoenix-az/rise-desert-cove/5XsMXg/,Building,,,,,,,2015 W  Cactus Rd,Phoenix,85029,AZ,USA,1.0,"2015 W  Cactus Rd, Phoenix, AZ, 85029",Match,Exact,"2015 W CACTUS RD, PHOENIX, AZ, 85029","-112.1025301738793,33.59645935708363",128948354.0,L
313,https://www.zillow.com/b/3219-e-earll-phoenix-az-5Xk7VF/,Building,,,,,,,3219 E  Earll Dr,Phoenix,85018,AZ,USA,0.0,"3219 E  Earll Dr, Phoenix, AZ, 85018",Match,Exact,"3219 E EARLL DR, PHOENIX, AZ, 85018","-112.01256751264458,33.484134745308495",649105206.0,R
314,https://www.zillow.com/homedetails/3413-3415-E-Earll-Dr-Phoenix-AZ-85018/2052866913_zpid/,Apartment,1150.0,800.0,sqft,1.44,2.0,1.0,3413 E Earll Dr,Phoenix,85018,AZ,USA,0.0,"3413 E Earll Dr, Phoenix, AZ, 85018",Match,Exact,"3413 E EARLL DR, PHOENIX, AZ, 85018","-112.00815073883149,33.48409690202851",128223083.0,R
315,https://www.zillow.com/apartments/phoenix-az/carol/9TVRvL/,Apartment,1150.0,900.0,sqft,1.28,2.0,1.0,1313 E Carol Ave,Phoenix,85020,AZ,USA,1.0,"1313 E Carol Ave, Phoenix, AZ, 85020",Match,Exact,"1313 E CAROL AVE, PHOENIX, AZ, 85020","-112.0541991454154,33.572598937136945",128206852.0,R
316,https://www.zillow.com/apartments/phoenix-az/rise-on-cave-creek/5XtNW6/,Building,,,,,,,17646 N  Cave Creek Rd   f148f,Phoenix,85032,AZ,USA,1.0,"17646 N  Cave Creek Rd   f148f, Phoenix, AZ, 85032",Match,Non_Exact,"17646 N CAVE CREEK RD, PHOENIX, AZ, 85032","-112.03091480121725,33.64701114931745",128594903.0,L
317,https://www.zillow.com/apartments/phoenix-az/paradise-foothills/5XhySv/,Building,,,,,,,12231 N  19th St,Phoenix,85022,AZ,USA,1.0,"12231 N  19th St, Phoenix, AZ, 85022",Match,Exact,"12231 N 19TH ST, PHOENIX, AZ, 85022","-112.04146954466353,33.59776304387202",637418644.0,L
318,https://www.zillow.com/b/hazelwood-apartments-07-phoenix-az-5fwLvn/,Building,,,,,,,645 W  Hazelwood St,Phoenix,85013,AZ,USA,1.0,"645 W  Hazelwood St, Phoenix, AZ, 85013",Match,Exact,"645 W HAZELWOOD ST, PHOENIX, AZ, 85013","-112.08181168041887,33.50383685103316",128206187.0,L
319,https://www.zillow.com/b/123-missouri-phoenix-az-5fwLyh/,Apartment,1150.0,325.0,sqft,3.54,,1.0,123 W Missouri Ave,Phoenix,85013,AZ,USA,0.0,"123 W Missouri Ave, Phoenix, AZ, 85013",Match,Exact,"123 W MISSOURI AVE, PHOENIX, AZ, 85013","-112.07601330213515,33.51650976962304",633219654.0,L
320,https://www.zillow.com/homedetails/921-E-Dunlap-Ave-Phoenix-AZ-85020/2067568982_zpid/,Apartment,1150.0,700.0,sqft,1.64,1.0,1.0,921 E Dunlap Ave,Phoenix,85020,AZ,USA,1.0,"921 E Dunlap Ave, Phoenix, AZ, 85020",Match,Exact,"921 E DUNLAP AVE, PHOENIX, AZ, 85020","-112.06130196200735,33.56769657031282",128206794.0,R
321,https://www.zillow.com/apartments/phoenix-az/ascent-1829/5XjqCF/,Building,,,,,,,1829 E  Morten Ave,Phoenix,85020,AZ,USA,0.0,"1829 E  Morten Ave, Phoenix, AZ, 85020",Match,Exact,"1829 E MORTEN AVE, PHOENIX, AZ, 85020","-112.04196461177384,33.54553867031018",128601796.0,L
322,https://www.zillow.com/b/521-e-mariposa-st-phoenix-az-5c7s74/,Apartment,1159.0,720.0,sqft,1.61,1.0,1.0,521 E Mariposa St,Phoenix,85012,AZ,USA,0.0,"521 E Mariposa St, Phoenix, AZ, 85012",Match,Exact,"521 E MARIPOSA ST, PHOENIX, AZ, 85012","-112.06692711999511,33.50824726771674",128208716.0,R
323,https://www.zillow.com/homedetails/1701-W-Vogel-Ave-8-Phoenix-AZ-85021/2057129847_zpid/,Apartment,1170.0,760.0,sqft,1.54,1.0,1.0,1701 W Vogel Ave,Phoenix,85021,AZ,USA,1.0,"1701 W Vogel Ave, Phoenix, AZ, 85021",Match,Exact,"1701 W VOGEL AVE, PHOENIX, AZ, 85021","-112.09561034480066,33.57350983868491",128203335.0,L
324,https://www.zillow.com/apartments/phoenix-az/tides-on-osborn/5XqprM/,Building,,,,,,,1502 E  Osborn Rd,Phoenix,85014,AZ,USA,1.0,"1502 E  Osborn Rd, Phoenix, AZ, 85014",Match,Exact,"1502 E OSBORN RD, PHOENIX, AZ, 85014","-112.04944409538888,33.48746890308769",128209729.0,L
325,https://www.zillow.com/apartments/phoenix-az/the-northerly/5XhyQY/,Building,,,,,,,17602 N  Cave Creek Rd   aa9f5,Phoenix,85032,AZ,USA,1.0,"17602 N  Cave Creek Rd   aa9f5, Phoenix, AZ, 85032",Match,Non_Exact,"17602 N CAVE CREEK RD, PHOENIX, AZ, 85032","-112.03091480049767,33.64606094074679",642858673.0,L
326,https://www.zillow.com/apartments/phoenix-az/rise-biltmore/5XhyHc/,Building,,,,,,,4728 N  15th St   faf088c3,Phoenix,85014,AZ,USA,1.0,"4728 N  15th St   faf088c3, Phoenix, AZ, 85014",Match,Non_Exact,"4728 N 15TH ST, PHOENIX, AZ, 85014","-112.0497760019075,33.506126093962905",128209591.0,L
327,https://www.zillow.com/apartments/phoenix-az/icon-on-central/5XhyRq/,Building,,,,,,,77 W  Coolidge St,Phoenix,85013,AZ,USA,1.0,"77 W  Coolidge St, Phoenix, AZ, 85013",Match,Exact,"77 W COOLIDGE ST, PHOENIX, AZ, 85013","-112.07490702546193,33.50467477369273",128206182.0,L
328,https://www.zillow.com/b/rsnn-1-ot-phoenix-az-5XkcdR/,Building,,,,,,,2929 W  Yorkshire Dr Unit 1070,Phoenix,85027,AZ,USA,0.0,"2929 W  Yorkshire Dr Unit 1070, Phoenix, AZ, 85027",Match,Exact,"2929 W YORKSHIRE DR, PHOENIX, AZ, 85027","-112.12248489579929,33.662736560636176",642857447.0,R
329,https://www.zillow.com/b/608-n.-9th-st.-phoenix-az-5fwMJx/,Apartment,1175.0,500.0,sqft,2.35,1.0,1.0,608 N 9th St,Phoenix,85006,AZ,USA,1.0,"608 N 9th St, Phoenix, AZ, 85006",Match,Exact,"608 N 9TH ST, PHOENIX, AZ, 85006","-112.06213115665247,33.45490617712528",128213835.0,L
330,https://www.zillow.com/homedetails/Phoenix-AZ-85003/2054674019_zpid/,Apartment,1175.0,700.0,sqft,1.68,1.0,1.0,,Phoenix,85003,AZ,USA,1.0,", Phoenix, AZ, 85003",No_Match,,,,,
331,https://www.zillow.com/b/3308-w-loma-ln-phoenix-az-5ZZvr7/,Apartment,1175.0,950.0,sqft,1.24,2.0,1.0,3308 W Loma Ln,Phoenix,85051,AZ,USA,1.0,"3308 W Loma Ln, Phoenix, AZ, 85051",Match,Exact,"3308 W LOMA LN, PHOENIX, AZ, 85051","-112.13023355104411,33.554068167190906",128197503.0,R
332,https://www.zillow.com/apartments/phoenix-az/heritage-at-deer-valley/5XhyP6/,Building,,,,,,,3010 W  Yorkshire Dr   f6030f9c,Phoenix,85027,AZ,USA,1.0,"3010 W  Yorkshire Dr   f6030f9c, Phoenix, AZ, 85027",Match,Non_Exact,"3010 W YORKSHIRE DR, PHOENIX, AZ, 85027","-112.12396885888711,33.66285115209644",128934350.0,L
333,https://www.zillow.com/apartments/phoenix-az/aura-at-midtown/5Y2ZjT/,Building,,,,,,,3623 N  5th Ave  2,Phoenix,85013,AZ,USA,1.0,"3623 N  5th Ave  2, Phoenix, AZ, 85013",Match,Non_Exact,"3623 N 5TH AVE, PHOENIX, AZ, 85013","-112.08039073666015,33.49082783089574",128206323.0,R
334,https://www.zillow.com/homedetails/1321-W-Sahuaro-Dr-APT-2-Phoenix-AZ-85029/2085611583_zpid/,Apartment,1180.0,700.0,sqft,1.69,2.0,1.0,1321 W Sahuaro Dr,Phoenix,85029,AZ,USA,1.0,"1321 W Sahuaro Dr, Phoenix, AZ, 85029",Match,Exact,"1321 W SAHUARO DR, PHOENIX, AZ, 85029","-112.08926225920027,33.58386956958577",128203269.0,L
335,https://www.zillow.com/b/.num.1045-1411-n-33rd-llc-phoenix-az-9TTcrz/,Apartment,1185.0,568.0,sqft,2.09,1.0,1.0,1411 N 33rd St,Phoenix,85008,AZ,USA,0.0,"1411 N 33rd St, Phoenix, AZ, 85008",Match,Exact,"1411 N 33RD ST, PHOENIX, AZ, 85008","-112.01033381197294,33.463997704668884",128223253.0,R
336,https://www.zillow.com/apartments/phoenix-az/urbana-on-12th/BPRL5k/,Building,,,,,,,4225 N  12th St,Phoenix,85014,AZ,USA,1.0,"4225 N  12th St, Phoenix, AZ, 85014",Match,Exact,"4225 N 12TH ST, PHOENIX, AZ, 85014","-112.05624152149221,33.49758346627431",128208969.0,R
337,https://www.zillow.com/b/the-onyx-apartments-phoenix-az-5Xn3BH/,Building,,,,,,,3131 N  Black Canyon Hwy,Phoenix,85015,AZ,USA,0.0,"3131 N  Black Canyon Hwy, Phoenix, AZ, 85015",Match,Exact,"3131 N BLACK CANYON HWY, PHOENIX, AZ, 85015","-112.11270977145733,33.48333721360984",128205197.0,R
338,https://www.zillow.com/apartments/phoenix-az/the-beverly/5ZbQzz/,Building,,,,,,,3031 N  36th St,Phoenix,85018,AZ,USA,1.0,"3031 N  36th St, Phoenix, AZ, 85018",Match,Exact,"3031 N 36TH ST, PHOENIX, AZ, 85018","-112.00412829717067,33.48288937698874",128223138.0,R
339,https://www.zillow.com/b/champion-flower-22-phoenix-az-5XmpnJ/,Apartment,1195.0,600.0,sqft,1.99,1.0,1.0,3208 E Flower St,Phoenix,85018,AZ,USA,1.0,"3208 E Flower St, Phoenix, AZ, 85018",Match,Exact,"3208 E FLOWER ST, PHOENIX, AZ, 85018","-112.01253368567916,33.48608085053138",128219716.0,L
340,https://www.zillow.com/b/5th-ave-phx-phoenix-az-9TTTsK/,Building,,,,,,,626 N  5th Ave,Phoenix,85003,AZ,USA,1.0,"626 N  5th Ave, Phoenix, AZ, 85003",Match,Exact,"626 N 5TH AVE, PHOENIX, AZ, 85003","-112.08023465311857,33.455050740947",128211910.0,L
341,https://www.zillow.com/homedetails/2133-W-Turney-Ave-UNIT-87C-Phoenix-AZ-85015/7767553_zpid/,Apartment,1195.0,960.0,sqft,1.24,2.0,1.5,2133 W Turney Ave,Phoenix,85015,AZ,USA,1.0,"2133 W Turney Ave, Phoenix, AZ, 85015",Match,Exact,"2133 W TURNEY AVE, PHOENIX, AZ, 85015","-112.10475512581593,33.500403581755734",128316984.0,L
342,https://www.zillow.com/b/18416-n-cave-creek-rd-phoenix-az-5Xk4MJ/,Building,,,,,,,18416 N  Cave Creek Rd,Phoenix,85032,AZ,USA,1.0,"18416 N  Cave Creek Rd, Phoenix, AZ, 85032",Match,Exact,"18416 N CAVE CREEK RD, PHOENIX, AZ, 85032","-112.03092380582223,33.6533731457705",647663192.0,L
343,https://www.zillow.com/homedetails/1233-W-Pierce-St-4-Phoenix-AZ-85007/2053202894_zpid/,Apartment,1195.0,925.0,sqft,1.29,3.0,1.0,1233 W Pierce St,Phoenix,85007,AZ,USA,1.0,"1233 W Pierce St, Phoenix, AZ, 85007",Match,Exact,"1233 W PIERCE ST, PHOENIX, AZ, 85007","-112.08911569634859,33.45595463579093",128211574.0,L
344,https://www.zillow.com/b/1942-w-berridge-lane-phoenix-az-5Xt4nb/,Building,,,,,,,1942 W  Berridge Ln,Phoenix,85015,AZ,USA,1.0,"1942 W  Berridge Ln, Phoenix, AZ, 85015",Match,Exact,"1942 W BERRIDGE LN, PHOENIX, AZ, 85015","-112.10062801206465,33.52649519265174",128302397.0,R
345,https://www.zillow.com/homedetails/9644-N-11th-Ave-APT-7-Phoenix-AZ-85021/2054067560_zpid/,Apartment,1195.0,,,,1.0,1.0,9644 N 11th Ave,Phoenix,85021,AZ,USA,0.0,"9644 N 11th Ave, Phoenix, AZ, 85021",Match,Exact,"9644 N 11TH AVE, PHOENIX, AZ, 85021","-112.0869508900617,33.57352746663946",128203515.0,L
346,https://www.zillow.com/apartments/phoenix-az/1503-w-missouri-ave/5XnQhc/,Building,,,,,,,1503 W  Missouri Ave,Phoenix,85015,AZ,USA,1.0,"1503 W  Missouri Ave, Phoenix, AZ, 85015",Match,Exact,"1503 W MISSOURI AVE, PHOENIX, AZ, 85015","-112.09131237021722,33.51670359721362",128318706.0,L
347,https://www.zillow.com/homedetails/4830-E-Willetta-St-APT-8-Phoenix-AZ-85008/2078327860_zpid/,Apartment,1195.0,667.0,sqft,1.79,1.0,1.0,4830 E Willetta St,Phoenix,85008,AZ,USA,1.0,"4830 E Willetta St, Phoenix, AZ, 85008",Match,Exact,"4830 E WILLETTA ST, PHOENIX, AZ, 85008","-111.97700451511952,33.46339689833138",128840579.0,L
348,https://www.zillow.com/homedetails/2602-N-46th-St-APT-5-Phoenix-AZ-85008/2088417470_zpid/,Apartment,1195.0,670.0,sqft,1.78,1.0,1.0,2602 N 46th St,Phoenix,85008,AZ,USA,1.0,"2602 N 46th St, Phoenix, AZ, 85008",Match,Exact,"2602 N 46TH ST, PHOENIX, AZ, 85008","-111.98266813057302,33.47657463857581",128223795.0,L
349,https://www.zillow.com/b/3511-e-baseline-rd-phoenix-az-5Xk7SF/,Building,,,,,,,3511 E  Baseline Rd Unit 1026,Phoenix,85042,AZ,USA,1.0,"3511 E  Baseline Rd Unit 1026, Phoenix, AZ, 85042",Match,Exact,"3511 E BASELINE RD, PHOENIX, AZ, 85042","-112.00736996216898,33.37797376437334",128923438.0,R
350,https://www.zillow.com/b/the-campbell-phoenix-az-BV5WMY/,Apartment,1195.0,300.0,sqft,3.98,,1.0,2617 E Campbell Ave,Phoenix,85016,AZ,USA,1.0,"2617 E Campbell Ave, Phoenix, AZ, 85016",Match,Exact,"2617 E CAMPBELL AVE, PHOENIX, AZ, 85016","-112.02549113747335,33.50215543275385",128219275.0,R
351,https://www.zillow.com/apartments/phoenix-az/biltmore-promenade/5XkpxQ/,Building,,,,,,,2625 E  Indian School Rd Unit 115,Phoenix,85016,AZ,USA,1.0,"2625 E  Indian School Rd Unit 115, Phoenix, AZ, 85016",Match,Exact,"2625 E INDIAN SCHOOL RD, PHOENIX, AZ, 85016","-112.02531682116808,33.49489603776652",128219401.0,R
352,https://www.zillow.com/apartments/phoenix-az/the-michelle-on-roosevelt/9TTcKK/,Building,,,,,,,834 N  13th Ave,Phoenix,85007,AZ,USA,0.0,"834 N  13th Ave, Phoenix, AZ, 85007",Match,Exact,"834 N 13TH AVE, PHOENIX, AZ, 85007","-112.08919633878247,33.45757840676407",642657822.0,L
353,https://www.zillow.com/apartments/phoenix-az/the-northern-apartments/5XhyHj/,Building,,,,,,,17840 N  Black Canyon Hwy UCMXG,Phoenix,85053,AZ,USA,1.0,"17840 N  Black Canyon Hwy UCMXG, Phoenix, AZ, 85053",Match,Non_Exact,"17840 N BLACK CANYON HWY, PHOENIX, AZ, 85053","-112.11547931163,33.64781543360249",647554303.0,L
354,"https://www.zillow.com/b/building/33.516323,-112.09361_ll/",Building,,,,,,,1601 W  Missouri Ave  f1f43,Phoenix,85015,AZ,USA,1.0,"1601 W  Missouri Ave  f1f43, Phoenix, AZ, 85015",Match,Non_Exact,"1601 W MISSOURI AVE, PHOENIX, AZ, 85015","-112.09351071968086,33.516721446129964",128322164.0,L
355,https://www.zillow.com/b/*move-in-special*-downtown-phoenix-living-at-the-palms-downtown-remodeled-2-bed-1-bath-apartmen...-phoenix-az-9zgdyY/,Building,,,,,,,349 N  11th St,Phoenix,85006,AZ,USA,1.0,"349 N  11th St, Phoenix, AZ, 85006",Match,Exact,"349 N 11TH ST, PHOENIX, AZ, 85006","-112.0588866059735,33.452120707072424",128213868.0,R
356,https://www.zillow.com/homedetails/4618-N-12th-Pl-Phoenix-AZ-85014/7769173_zpid/,Apartment,1195.0,527.0,sqft,2.27,1.0,1.0,4618 N 12th Pl,Phoenix,85014,AZ,USA,0.0,"4618 N 12th Pl, Phoenix, AZ, 85014",Match,Exact,"4618 N 12TH PL, PHOENIX, AZ, 85014","-112.05526309245727,33.50398012993372",128208945.0,L
357,https://www.zillow.com/homedetails/2832-E-Monte-Cristo-Ave-Phoenix-AZ-85032/8007502_zpid/,Apartment,1195.0,1100.0,sqft,1.09,2.0,2.0,2832 E Monte Cristo Ave,Phoenix,85032,AZ,USA,0.0,"2832 E Monte Cristo Ave, Phoenix, AZ, 85032",Match,Exact,"2832 E MONTE CRISTO AVE, PHOENIX, AZ, 85032","-112.02092431633639,33.63225541911868",128281609.0,L
358,https://www.zillow.com/homedetails/2832-E-Monte-Cristo-Ave-APT-201-Phoenix-AZ-85032/344568673_zpid/,Apartment,1195.0,1100.0,sqft,1.09,2.0,2.0,2832 E Monte Cristo Ave,Phoenix,85032,AZ,USA,0.0,"2832 E Monte Cristo Ave, Phoenix, AZ, 85032",Match,Exact,"2832 E MONTE CRISTO AVE, PHOENIX, AZ, 85032","-112.02092431633639,33.63225541911868",128281609.0,L
359,"https://www.zillow.com/b/2-bed,-1.5-bath,-%241,195-phoenix-az-9TV4VR/",Apartment,1195.0,,,,2.0,1.5,4719 N 15th Ave,Phoenix,85015,AZ,USA,0.0,"4719 N 15th Ave, Phoenix, AZ, 85015",Match,Exact,"4719 N 15TH AVE, PHOENIX, AZ, 85015","-112.09118075932082,33.506410759374546",647681165.0,R
360,https://www.zillow.com/apartments/phoenix-az/broadway-palms/9TWsQp/,Building,,,,,,,4301 S  7th Ave,Phoenix,85041,AZ,USA,0.0,"4301 S  7th Ave, Phoenix, AZ, 85041",Match,Exact,"4301 S 7TH AVE, PHOENIX, AZ, 85041","-112.0819288463801,33.407901593177144",128780331.0,L
361,https://www.zillow.com/b/a606-phoenix-az-5YmY5s/,Apartment,1195.0,,,,2.0,1.0,1913 N 25th Pl APT C,Phoenix,85008,AZ,USA,0.0,"1913 N 25th Pl APT C, Phoenix, AZ, 85008",Match,Non_Exact,"1913 N 25TH PL, PHOENIX, AZ, 85008","-112.02655424303435,33.4685727244767",128214619.0,R
362,https://www.zillow.com/b/a583-phoenix-az-5ZbR25/,Apartment,1195.0,,,,2.0,1.0,510 E Hatcher Rd,Phoenix,85020,AZ,USA,0.0,"510 E Hatcher Rd, Phoenix, AZ, 85020",Match,Exact,"510 E HATCHER RD, PHOENIX, AZ, 85020","-112.06718687394584,33.57145616150814",128206502.0,L
363,https://www.zillow.com/apartments/phoenix-az/marlette-8/9TTyxs/,Apartment,1195.0,602.0,sqft,1.99,1.0,1.0,825 E Marlette Ave,Phoenix,85014,AZ,USA,1.0,"825 E Marlette Ave, Phoenix, AZ, 85014",Match,Exact,"825 E MARLETTE AVE, PHOENIX, AZ, 85014","-112.06365896167773,33.529097022799704",128208397.0,R
364,https://www.zillow.com/homedetails/2202-E-Taylor-St-APT-1-Phoenix-AZ-85006/2092023555_zpid/,Apartment,1195.0,,,,2.0,1.0,2202 E Taylor St,Phoenix,85006,AZ,USA,1.0,"2202 E Taylor St, Phoenix, AZ, 85006",Match,Exact,"2202 E TAYLOR ST, PHOENIX, AZ, 85006","-112.0337775903875,33.45411072070772",128214990.0,L
365,https://www.zillow.com/homedetails/2744-E-Tierra-Buena-Ln-UNIT-2-Phoenix-AZ-85032/343968448_zpid/,Apartment,1199.0,775.0,sqft,1.55,2.0,2.0,2744 E Tierra Buena Ln,Phoenix,85032,AZ,USA,1.0,"2744 E Tierra Buena Ln, Phoenix, AZ, 85032",Match,Exact,"2744 E TIERRA BUENA LN, PHOENIX, AZ, 85032","-112.02346719261402,33.630328142263636",128259875.0,L
366,https://www.zillow.com/homedetails/1419-E-Hatcher-Rd-Phoenix-AZ-85020/7786984_zpid/,Apartment,1199.0,550.0,sqft,2.18,1.0,1.0,1419 E Hatcher Rd,Phoenix,85020,AZ,USA,1.0,"1419 E Hatcher Rd, Phoenix, AZ, 85020",Match,Exact,"1419 E HATCHER RD, PHOENIX, AZ, 85020","-112.05195325465297,33.57122990282045",128206860.0,R
367,https://www.zillow.com/homedetails/1522-E-Pierce-St-1-Phoenix-AZ-85006/2053365768_zpid/,Apartment,1199.0,420.0,sqft,2.85,,1.0,1522 E Pierce St,Phoenix,85006,AZ,USA,1.0,"1522 E Pierce St, Phoenix, AZ, 85006",Match,Exact,"1522 E PIERCE ST, PHOENIX, AZ, 85006","-112.04939744020436,33.455878176327815",128214679.0,L
368,https://www.zillow.com/homedetails/1146-E-Diamond-St-Phoenix-AZ-85006/2062003047_zpid/,Apartment,1199.0,800.0,sqft,1.5,1.0,1.0,1146 E Diamond St,Phoenix,85006,AZ,USA,1.0,"1146 E Diamond St, Phoenix, AZ, 85006",Match,Exact,"1146 E DIAMOND ST, PHOENIX, AZ, 85006","-112.05775075331064,33.45935087610428",128213368.0,L
369,https://www.zillow.com/apartments/phoenix-az/the-marlowe/5ZbKZ7/,Apartment,1199.0,555.0,sqft,2.16,1.0,1.0,2950 N 46th St,Phoenix,85018,AZ,USA,0.0,"2950 N 46th St, Phoenix, AZ, 85018",Match,Exact,"2950 N 46TH ST, PHOENIX, AZ, 85018","-111.98263419032679,33.48106911256292",128223782.0,L
370,https://www.zillow.com/b/oasis-20-phoenix-az-5ZZDGp/,Building,,,,,,,4514 N  20th St,Phoenix,85016,AZ,USA,0.0,"4514 N  20th St, Phoenix, AZ, 85016",Match,Exact,"4514 N 20TH ST, PHOENIX, AZ, 85016","-112.0389486290843,33.50223301666398",128919138.0,L
371,https://www.zillow.com/apartments/phoenix-az/3325-e-pinchot-ave/5ZbKTx/,Apartment,1199.0,630.0,sqft,1.9,1.0,1.0,3325 E Pinchot Ave,Phoenix,85018,AZ,USA,0.0,"3325 E Pinchot Ave, Phoenix, AZ, 85018",Match,Exact,"3325 E PINCHOT AVE, PHOENIX, AZ, 85018","-112.01004801896039,33.48227757926958",651199759.0,R
372,https://www.zillow.com/apartments/phoenix-az/1629-filmore-st/5j2RgB/,Apartment,1199.0,540.0,sqft,2.22,1.0,1.0,1629 W Fillmore St,Phoenix,85007,AZ,USA,0.0,"1629 W Fillmore St, Phoenix, AZ, 85007",Match,Exact,"1629 W FILLMORE ST, PHOENIX, AZ, 85007","-112.0941132811725,33.454922855193274",128211575.0,L
373,https://www.zillow.com/apartments/phoenix-az/portola-biltmore/5XhyM4/,Building,,,,,,,2323 E  Flower St,Phoenix,85016,AZ,USA,1.0,"2323 E  Flower St, Phoenix, AZ, 85016",Match,Exact,"2323 E FLOWER ST, PHOENIX, AZ, 85016","-112.03184510705825,33.485695698422774",128210022.0,R
374,https://www.zillow.com/b/3201-n.-36th-st.-phoenix-az-5Z4258/,Apartment,1199.0,700.0,sqft,1.71,1.0,1.0,3201 N 36th St,Phoenix,85018,AZ,USA,0.0,"3201 N 36th St, Phoenix, AZ, 85018",Match,Exact,"3201 N 36TH ST, PHOENIX, AZ, 85018","-112.00413002731034,33.48610539539834",128219778.0,R
375,https://www.zillow.com/b/canyon-club-apartments-phoenix-az-C9sZmQ/,Building,,,,,,,2525 Pearson St   b863d,Phoenix,85017,AZ,USA,0.0,"2525 Pearson St   b863d, Phoenix, AZ, 85017",No_Match,,,,,
376,https://www.zillow.com/homedetails/1934-E-Fairmount-Ave-APT-8-Phoenix-AZ-85016/2120520980_zpid/,Apartment,1199.0,558.0,sqft,2.15,1.0,1.0,1934 E Fairmount Ave,Phoenix,85016,AZ,USA,1.0,"1934 E Fairmount Ave, Phoenix, AZ, 85016",Match,Exact,"1934 E FAIRMOUNT AVE, PHOENIX, AZ, 85016","-112.04030593941047,33.49301858633521",128209906.0,L
377,https://www.zillow.com/homedetails/6217-N-12th-St-UNIT-B-Phoenix-AZ-85014/2078152269_zpid/,Apartment,1200.0,550.0,sqft,2.18,1.0,1.0,6217 N 12th St UNIT B,Phoenix,85014,AZ,USA,1.0,"6217 N 12th St UNIT B, Phoenix, AZ, 85014",Match,Non_Exact,"6217 N 12TH ST, PHOENIX, AZ, 85014","-112.05615885200592,33.52773475270243",128302162.0,R
378,https://www.zillow.com/b/a543-phoenix-az-5Xmktc/,Apartment,1200.0,900.0,sqft,1.33,2.0,1.0,3363 W Harmont Dr,Phoenix,85051,AZ,USA,0.0,"3363 W Harmont Dr, Phoenix, AZ, 85051",Match,Exact,"3363 W HARMONT DR, PHOENIX, AZ, 85051","-112.13160696295756,33.55543650433333",128397191.0,L
379,https://www.zillow.com/homedetails/10648-N-15th-Ave-Phoenix-AZ-85029/7784984_zpid/,Apartment,1200.0,600.0,sqft,2.0,1.0,1.0,10648 N 15th Ave,Phoenix,85029,AZ,USA,1.0,"10648 N 15th Ave, Phoenix, AZ, 85029",Match,Exact,"10648 N 15TH AVE, PHOENIX, AZ, 85029","-112.09129817976691,33.58346083681977",128203268.0,L
